name,pop,lat,lon
Akron,36.0,41.0814447,-81.51900529999999
Albany-Schenectady-Troy,719.0,42.7636479,-73.65362089999999
Albuquerque,176.0,35.0843859,-106.650422
Allentown-Bethlehem-Easton,421.0,40.7291847,-75.2479061
Anchorage,179.0,61.2180556,-149.9002778
Ann Arbor,868.0,42.2808256,-83.7430378
Atlanta-Sandy Springs-Roswell,4332.0,33.8498184,-84.4382721
Atlantic City-Hammonton,230.0,39.610404,-74.8226529
Augusta-Richmond County,66.0,33.4734978,-82.0105148
Austin-Round Rock,1975.0,30.5082551,-97.678896
Bakersfield,532.0,35.3732921,-119.0187125
Baltimore-Columbia-Towson,4798.0,39.372594,-76.64127119999999
Bangor,117.0,44.8016128,-68.7712257
Beaumont-Port Arthur,150.0,30.080174,-94.1265562
Bellingham,351.0,48.7519112,-122.4786854
Binghamton,37.0,42.09868669999999,-75.91797380000001
Birmingham-Hoover,491.0,33.4053867,-86.8113781
Blacksburg-Christiansburg-Radford,264.0,37.1753479,-80.54384499999999
Bloomington,145.0,39.165325,-86.52638569999999
Boise City,234.0,43.6150186,-116.2023137
Boston-Cambridge-Newton,5818.0,42.3600709,-71.0588305
Bridgeport-Stamford-Norwalk,1003.0,41.2559654,-73.37086959999999
Buffalo-Cheektowaga-Niagara Falls,207.0,42.8518007,-78.74762079999999
Burlington-South Burlington,429.0,44.4758825,-73.21207199999999
Champaign-Urbana,200.0,40.1105875,-88.2072697
Charleston-North Charleston,413.0,32.8909785,-80.0691552
Chicago-Naperville-Elgin,7522.0,42.2162567,-87.8549755
Cincinnati,1132.0,39.0220536,-84.4382721
Clarksville,69.0,36.5297706,-87.3594528
Cleveland-Elyria,377.0,41.3683798,-82.10764859999999
Colorado Springs,348.0,38.8338816,-104.8213634
Columbia,315.0,34.0007104,-81.0348144
Columbus,1956.0,39.9611755,-82.99879419999999
Dallas-Fort Worth-Arlington,10860.0,32.7078751,-96.9209135
Dayton,271.0,39.7589478,-84.1916069
Deltona-Daytona Beach-Ormond Beach,80.0,29.0396219,-81.2518833
Denver-Aurora-Lakewood,2319.0,39.5142848,-104.8454619
Des Moines-West Des Moines,271.0,41.5638902,-93.75938409999999
Detroit-Warren-Dearborn,2000.0,42.341377,-83.275533
El Paso,137.0,31.7618778,-106.4850217
Fayetteville-Springdale-Rogers,314.0,36.0148605,-94.2333355
Fort Collins,105.0,40.5852602,-105.084423
Fort Wayne,163.0,41.079273,-85.1393513
Fresno,309.0,36.7377981,-119.7871247
Gainesville,681.0,29.6516344,-82.32482619999999
Gainesville,138.0,34.2978794,-83.8240663
Greensboro-High Point,356.0,35.9556923,-80.0053176
Greenville,243.0,35.612661,-77.3663538
Greenville-Anderson-Mauldin,40.0,34.8420019,-82.34518899999999
Harrisburg-Carlisle,225.0,40.3157054,-77.10249019999999
Hartford-West Hartford-East Hartford,451.0,41.7658043,-72.6733723
Homosassa Springs,166.0,28.8037059,-82.5761369
Houston-The Woodlands-Sugar Land,13923.0,29.5984434,-95.6225521
Huntsville,233.0,34.7303688,-86.5861037
Indianapolis-Carmel-Anderson,216.0,39.83618999999999,-86.17517590000001
Iowa City,199.0,41.6611277,-91.5301683
Ithaca,174.0,42.4439614,-76.5018807
Jacksonville,171.0,30.3321838,-81.65565099999999
Kalamazoo-Portage,93.0,42.2011538,-85.5800022
Kansas City,733.0,39.0997265,-94.5785667
Knoxville,451.0,35.9606384,-83.9207392
Lafayette-West Lafayette,437.0,40.4258686,-86.90806549999999
Lakeland-Winter Haven,92.0,28.0222435,-81.7328567
Lansing-East Lansing,377.0,42.7369792,-84.48386540000001
Las Vegas-Henderson-Paradise,2728.0,36.0971945,-115.1466648
Lawrence,190.0,38.9716689,-95.2352501
Los Angeles-Long Beach-Anaheim,75393.0,34.0522166,-118.2436619
